"","actual","predicted"
"1",0.210747684457,-0.0191046089985059
"2",0.073252039608,-0.00243155574065677
"3",0.668801625965,0.0196080990426249
"4",0.314006168931,4.39779503095893e-05
"5",0.0480048126571,0.000138584032019376
"6",0.13875693121,0.0166934310882637
"7",0.252661547268,0.0317324704021015
"8",0.503071324699,0.00220730453331085
"9",0.334867654473,0.0359940260221214
"10",0.4019,-0.000780284772790511
"11",0.194030073086,0.0310061148475054
"12",0.255299940204017,0.0300640907475826
"13",0.149966027011,0.0113770959525952
"14",0.381029269936,0.00179439968800864
"15",0.257230581655,0.05909259001191
"16",0.331053659706,9.69137300258167e-05
"17",0.43336808596,0.0379475291818332
"18",0.236122820107,0.00922714445255482
"19",0.0516,0.00176047181608539
"20",0.244674856688,-0.00678971234083969
"21",0.0994393307586,0.00386077360069258
"22",0.453284075066,0.199847140978262
"23",0.393761985809,-0.0029249264944543
"24",0.836,0.0305843514127491
"25",0.355813914099478,0.00892342517464948
"26",0.526025032305,0.00284156856938499
"27",0.162667522523,0.0266508129422044
"28",-0.4939,0.00505158948954622
"29",0.163229562893,0.0252389813484263
"30",0.0356892613116,-0.00184628855006316
"31",0.276552842577,0.0068772034813765
"32",0.392911730624,0.0737626208937168
"33",0.247453112219,0.0165693424890762
"34",0.239359152437,0.0352295889257073
"35",0.330318064115542,0.00847650327152969
"36",0.252230150092,0.0889080263373452
"37",0.143183020435,-0.000735900644168253
"38",0.369278417718,0.000985161766153988
"39",0.372134965577264,0.0967909378441654
"40",0.184505942472,0.0113341663730516
"41",0.141741106238,0.0219808877238031
"42",0.137846299998,-0.0126968034039148
"43",0.2313074601275,-0.000194030933050311
"44",0.162363631079,-0.00691015859994108
"45",0.3612,0.00280501846985558
"46",0.7405,-4.57937605294537e-05
"47",0.322200875621,-0.0176866125873887
"48",0.107658319435,0.0125515927544851
"49",0.102985805984,0.0232093632677853
"50",0.138309256257,0.0516755463932302
"51",0.4588,0.00510750339230666
"52",0.284891146963,-0.00624571721835264
"53",0.145025793483,0.0878494008089299
"54",0.273261372975,0.0149588482114145
"55",0.444207462857,0.0475602512598754
"56",0.223176316728,0.0270963982996156
"57",0.218149068337,0.0223646758215029
"58",0.212485949407,0.138425980310816
"59",0.463364251053746,-0.00948438021006788
"60",0.230980682279,0.00345354836671382
"61",0.0618049337196,0.00322078407437271
"62",0.353426761753,0.0112867523041053
"63",0.202262085379,-0.00640067546597538
"64",0.0356892613116,-0.00184628855006316
"65",0.7351,0.00352363066527831
"66",0.267820601255,0.0160432882583947
"67",0.0446436949985,0.0126878063962657
"68",0.177899896106,-0.00721159933707755
"69",0.296398623954,0.136734282949369
"70",0.413684818639,-0.00142020485279714
"71",0.4466,0.00495566267210646
"72",0.9001,0.0160992171674797
"73",0.361928356436069,0.0426838391951633
"74",0.31110421322,-0.012820374692142
"75",0.144206945081,0.0722703932874944
"76",0.3818,-0.010724335482598
"77",0.314403983551,0.150509174872023
"78",0.0373768322424,0.0110921084345757
"79",0.0817879410418,0.00972181765427708
"80",0.204084324318751,-0.0240538669420822
"81",0.194034665536,0.000829671624770642
"82",0.36133092229558,9.91967036405744e-05
"83",0.147259056462,0.0587767546240771
"84",0.215833448891,0.00492957263777522
"85",0.7184,0.0107593765402503
"86",0.3612,0.0223345090639165
