"","V1"
"5977684c389327cc46ef05b0b9b0b516",35.4611682558738
"a6f251e44d29caaa365cb6494f646615",42.7424984708462
"6c0250f394b9e6d29ba2c1f7ea3bc287",1.46830578432339
"f043be74c974f3592101bb9f46ccbe17",17.7543850749087
"58b310bd510f81018ea866abdc5b49d2",16.3608333411813
"f8bbade796b5e546d14879dc9f45823a",16.698829326796
"ff3acb97cca36d3f424a22d97726dd05",14.6326228675274
"d9ef5a8a190cdb915315e6b99d911f8d",7.09066742345888
"ab607289b01c25d0aee1e99936cab755",10.601725605039
"a6dcaca9cc0b2802fd5c4a567d70feeb",11.3362499806838
"9ee0e32b9dc42d36b9db08dcc459f677",14.711556934602
"8dd9207dfef6f9c585aa3b40e3148aa1",6.9838806866609
"86ca42b63c6de24ea5273d4632e68aef",21.3783034814151
"37e4eb9e1e141898fa3acde9eb60c473",29.0629693056123
"bdff6a7e6fdaaf9d6ed176fd227be761",8.2588668440555
"1b8b40e72c48fba53c11e9fe27f95b43",22.960836677477
"da40930479cea4ac1f04994728dabb58",40.7738268648559
"1065b7837eb8345119f8a30882a8d3fd",4.35729988005072
"13fa5dfb070bab32d7cd0911d682eae2",0.918768954865927
"4cf6abad36e73f68487cf5d6db9fc6d6",9.39785255040744
"b3db9246f9259c1ebda07ab594ff9fca",22.7227896922339
"f00e5de576ba596823c0ed35a8f98924",14.244585884733
"e1e50ea2551642a76bcfafa532d172b5",45.7172870994854
"66f80823873051cb1dd3d621ff82e938",27.3084261313511
"e914228dc88dc3dc0ca229eb5fb7b83d",25.6889532500841
"22d80aeb4aeb2ef395a4d55f22ef9631",3.04320629270368
"6f58b9d9827cf97b693fc1c00b7aece9",43.1923406617689
"70c5fb38128d63c3b475645750092026",17.8640533508536
"a4d0adc8f332ec2035dbb55fecba48e2",48.964497400222
"b733c698f1ee2b18a0cc2b2adc7d46bf",15.6199675879564
"2502abce9f06d1adcb5486a473422f4c",22.9609068753442
"0be43f4319459d9f58a72bb1c5f4c72f",5.99331151769906
"d0268093b3683991a3618269a96b1fa1",19.5408611517506
"69c4a4d2284dfc5aab915b0448924538",28.4125159415184
"fef5ffa355ee988dace11a4174ec15d4",30.7906005936518
"17c355afbaf320d27b44186b4f36ff70",15.2169977017031
"d346713ad2b836b48d704dcb9d4871d0",14.6826848162686
"324346346380257d7ee01fb2e5ee7a09",15.0869853378078
"752111af2d79a428a00db8a181be987b",34.8526984987554
"d0411bbe6fc22ec74b9ba1c8e380bc60",28.8694811550417
"8c733167c9840858fedf346123d58328",26.4291269141812
"ee8b0ae34f831a6f52c643d15d6ac22c",7.6327242566825
"dbb6c38b64ff749c252592e2655b8572",8.26093100791184
"a0ea3408efabc151c018a4dfbe8a66ca",33.9180572375428
"cfd29b31090ade58e34831f102005c49",23.4090035399384
"5afc4d8f6e9f96a3c9a8cf5848a57680",17.7763656799408
"f9d4483599e1905c12d041f55225ad8e",47.9787413251017
"29306e6d1d05e778a54f585932e3dabf",30.8723387464711
"78cb23fd1e36c41958a1d11d506bfa1d",0.690360859210036
"b9a9a104cc0b946e5842c4d25620dad5",38.1233459788942
